cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
oxidation of some methionine residues,sequence,earlier eluting peaks,quality_outcome,promotes,1,1,high,"Oxidation of some methionine residues contributed to earlier (acidic), some to later (basic) eluting peaks."
oxidation of some methionine residues,sequence,later eluting peaks,quality_outcome,promotes,1,1,high,"Oxidation of some methionine residues contributed to earlier (acidic), some to later (basic) eluting peaks."
high-mannose glycosylation,sequence,stability,quality_outcome,promotes,1,1,high,CEX-UV-MS measurement revealed a new intact antibody proteoform at 5% that eluted as a basic peak and included paired mo
n-linked glycosylation,sequence,product stability,stability,positive,1,1,high,N-linked glycosylation is a critical quality attribute for monoclonal antibodies (mAbs) as it affects product stability
sodium tetradecyl and hexadecyl sulfates,formulation,prevent aggregation,stability,inhibits,1,1,high,prevent formation of aggregate artifacts and to maintain detergent:protein uniformity
sodium tetradecyl and hexadecyl sulfates,formulation,formulation,stability,inhibits,1,1,high,"to maintain detergent:protein uniformity, suggesting their importance during the sample preparation steps"
alpha-lipoic acid,formulation,increased,stability,stabilizes,1,1,high,the use of alpha-lipoic acid... replenished the Krebs cycle through increased anaplerosis
methylene blue,formulation,biological activity,stability,stabilizes,1,1,high,"the electron shuttle function of a second drug, methylene blue, enhanced the mitochondrial capacity"
combination of drugs,formulation,Krebs cycle activity stimulation,stability,stabilizes,1,1,high,the combination of both drugs proved to be promising for stimulating Krebs cycle activity
formulation,formulation,decrease in lactate levels,stability,decreases,1,1,high,Decrease of lactate levels was observed during supplementation with succinic acid.
metabolic shift,formulation,increased high mannose glycans,quality_outcome,increases,1,1,high,the metabolic shift from glutamine to asparagine... caused increase of high mannose type glycans.
supplementation,formulation,increased sialylation,quality_outcome,increases,1,1,high,increase of both sialylation... after supplementation with glutamine.
feeding with mannose,formulation,increased galactosylation,quality_outcome,increases,1,1,high,increase of both sialylation and galactosylation... feeding with mannose.
aerosol samplers,stress,aggregation profiles for Ig1,stability,modifies,1,1,high,the six aerosol samplers generated distinct aggregation profiles for Ig1 at all size scales
high concentration,formulation,IgG clearance,stability,promotes,1,1,high,Saturation of the FcRn pathway is seen under high IgG doses... resulting in enhanced IgG clearance.
ravulizumab,formulation,concentration,stability,inhibits,1,1,high,no evidence of a treatment-related IgG depletion... IgG concentrations remained within physiologic ranges.
ravulizumab,formulation,hypogammaglobulinemia,quality_outcome,inhibits,1,1,high,no treatment associated hypogammaglobulinemia is to be feared under chronic ravulizumab therapy.
pH adjustment to acidic,formulation,clarification efficiency,stability,stabilizes,1,1,high,pretreatment significantly improves the clarification efficiency of depth filtration
flocculation,formulation,clarification efficiency,stability,stabilizes,1,1,high,pretreatment significantly improves the clarification efficiency of depth filtration
polycationic flocculation,formulation,clarification efficiency,stability,stabilizes,1,1,high,pretreatment significantly improves the clarification efficiency of depth filtration
steady state operation,formulation,glycosylation pattern,quality_outcome,stabilizes,1,1,high,A consistent glycosylation pattern of the purified product was ensured by the steady state operation of the process.
micelles,formulation,cellular association,quality_outcome,stabilizes,1,1,high,Micelles with attached 2C5 antibodies significantly enhanced cellular association and tumor killing.
micelles,formulation,tumor killing,quality_outcome,stabilizes,1,1,high,Micelles with attached 2C5 antibodies significantly enhanced cellular association and tumor killing.
concentration,formulation,charge variants,quality_outcome,stabilizes,1,1,high,Zn and temperature shift could further improve the quality of antibody.
temperature shift,stress,charge variants,quality_outcome,stabilizes,1,1,high,Zn and temperature shift could further improve the quality of antibody.
duration of culturing,stress,charge variants,quality_outcome,modifies,1,1,medium,"the concentration of Zn, duration of culturing, and temperature affect charge variants."
shear,stress,degradation,stability,promotes,1,1,high,Mixing-induced protein degradation and protein subvisible particle (SvP) formation... are associated with 2 common stres
air-liquid interfacial stress,stress,degradation,stability,promotes,1,1,high,Mixing-induced protein degradation and protein subvisible particle (SvP) formation... are associated with 2 common stres
DOTA(SCN),formulation,therapeutic efficacy lu-dota-rituximab,quality_outcome,neutral,1,1,medium,therapeutic effects of Lu-DOTA-Rituximab were observed in animals regardless whether DOTA(SCN) or DOTA(NHS) were used fo
formulation composition,formulation,degradation,formulation,modifies,1,1,high,"degradation of polysorbates is determined by formulation composition, pH and storage conditions."
storage conditions,stress,degradation,formulation,modifies,1,1,high,"degradation of polysorbates is determined by formulation composition, pH and storage conditions."
administration site,formulation,absorption rate,stability,modifies,1,1,high,"absorption was most rapid from the inguinal administration site, and slowest after administration behind the ear"
administration site,formulation,biological activity,stability,modifies,1,1,high,"Tocilizumab bioavailability was 98.6, 88.3, 74.1, and 86.3% after administration in inguinal area, flank, behind the ear"
higher-order structure,structure,adverse effects,quality_outcome,destabilizes,1,1,high,deviations in this QA may cause adverse effects.
peak positions,structure,robust spectral parameter,formulation,stabilizes,1,1,high,peak positions are found to be a more robust spectral parameter.
total spectral matrix,structure,n/a,formulation,stabilizes,1,1,medium,the total spectral matrix approach lends itself to easier automation.
input data,formulation,sensitivity to changes in HOS,stability,modifies,1,1,medium,shows differences in sensitivity to certain changes in HOS.
glycosylation,sequence,modulates efficacy,quality_outcome,positive,1,1,high,glycosylation is a common post-translational modification and critical quality attribute that can modulate the efficacy 
extreme temperature,stress,glycan,stability,negative,1,1,high,"traditional glycan analysis is time consuming and involves steps at extreme temperature or pH, which may alter glycans."
extreme pH,stress,glycan,stability,negative,1,1,high,"traditional glycan analysis is time consuming and involves steps at extreme temperature or pH, which may alter glycans."
charge heterogeneity,structure,dominates over fab,quality_outcome,promotes,1,1,high,Charge heterogeneity in Fc/2 dominates over F(ab).
optimized CIEF methods,formulation,developability,quality_outcome,stabilizes,1,1,high,The optimized CIEF methods for intact mAb and Fc/2 were tested for their potential as platform approaches.
charge variants,sequence,distinguishable charge variants,quality_outcome,promotes,1,1,high,Both mAbs contain additional alkaline C-terminal lysine variants as confirmed by digest with carboxypeptidase B.
glycopolymer concentration,formulation,decreased stability,stability,promotes,1,1,high,increased glycopolymer concentrations generally decreased the mAb stability
formulation optimization,formulation,mixing-induced protein degradation,stability,inhibits,1,1,high,which can generally be overcome by formulation optimization.
amino acid sequence,sequence,fc-silencing,stability,decreases,1,1,high,lower degree of Fc-silencing due to the occurrence of compensatory interactions
domain specific differences,structure,domain unfolding,stability,promotes,1,1,high,Domain specific differences for each of the IgGs have been elucidated with respect to onset of domain unfolding (T) and 
melting temperature,stability,heating rate,stress,correlates,1,1,high,Melting temperatures across brands were found to be highly comparable to the rate of heating.
reversible unfolding,structure,higher-order structure,stability,stabilizes,1,1,high,Conservation of higher order structure (HOS) through reversible unfolding was also examined.
first transition midpoint,stability,tertiary structure,structure,regains,1,1,high,both the mAbs were found to regain tertiary structure up till the first transition midpoint.
prefusion stabilized protein,sequence,potency,stability,promotes,1,1,high,only the RBD-specific antibodies showed high neutralizing potency
lower percentage of high mannosylated glycans,sequence,no effect,quality_outcome,neutral,1,1,high,slightly lower percentage of high mannosylated glycans (%HM) in HLX03 which had no effect on FcgammaRIII binding
n-glycans of igg-fc domain,sequence,safety,quality_outcome,stabilizes,1,1,high,regulation of the N-glycans of IgG-Fc domain is one of the key factors to maintain the safety and efficacy of antibody d
expi293 cell-derived mabs,sequence,binding affinity,quality_outcome,stabilizes,1,1,high,Expi293 cell-derived monoclonal antibodies had higher affinity for the mutant FcgammaRIIIa than those derived from ExpiC
slower off rates,structure,binding affinity,quality_outcome,stabilizes,1,1,high,due to slower off rates and lower binding entropy loss.
lower binding entropy loss,structure,binding affinity,quality_outcome,stabilizes,1,1,high,due to slower off rates and lower binding entropy loss.
formulation,stress,oxidation,stability,promotes,1,1,high,"biotherapeutics may undergo biotransformation (such as clipping, deamidation, or oxidation) in vivo"
formulation components,formulation,spectral interference,stability,destabilizes,1,1,high,presence of aliphatic signals from formulation or excipient components
self-association of mabs,stability,viscosity,stability,promotes,1,1,high,Self-association of therapeutic monoclonal antibodies (mabs) are thought to modulate the undesirably high viscosity obse
ivig,formulation,instability,stability,destabilizes,1,1,high,"Mean tesidolumab exposure decreased 34%, clearance increased 63%."
hydrophobicity,sequence,viscosity,stability,modifies,1,1,high,the evaluation of electrostatic and hydrophobic characters of the mabs is useful in predicting the nonuniform effect of 
fcrn,structure,aids in mAb biodistribution,stability,stabilizes,1,1,high,multi-faceted role of the neonatal Fc receptor (FcRn) in mAb and Fc-fusion protein disposition
tp-target interaction,structure,pharmacokinetics,stability,modifies,1,1,medium,characterization of the TP-target interaction at the cell-level is discussed as an essential strategy
mutations glycan network,sequence,impact on glycosylation pattern,stability,modifies,1,1,high,mutations in the glycan network surrounding an epitope impact the fine glycan processing of antibody targets
glycan,sequence,understanding,stability,supports,1,1,high,Glycan networks underpin the conservation of bnAb epitopes
m. arginini contamination,stress,increased charge variants,quality_outcome,promotes,1,1,high,"changes in critical quality attributes correlated with the duration of contamination, including increased acidic charge "
m. arginini contamination,stress,n-glycosylation,quality_outcome,promotes,1,1,high,"changes in critical quality attributes correlated with the duration of contamination, including high mannose species"
m. arginini contamination,stress,instability,quality_outcome,destabilizes,1,1,high,Contamination of CHO cells with M. arginini resulted in significant reduction of antibody product quality
n-linked glycosylation,sequence,critical quality attribute,quality_outcome,stabilizes,1,1,high,The profile of different glycans on the protein is a critical quality attribute of some recombinant biopharmaceutical pr
covalent binding,structure,conformational change,structure,induces,1,1,high,cross-linking identifies another loop region that undergoes a remote conformational change.
distance restraints,structure,confidence models,structure,enable,1,1,high,The distance restraints derived from the cross-links enable building high-confidence models of PD-1/nivolumab.
"ptm levels including oxidation, deamidation, and succinimide formation",sequence,stability,stability,destabilizes,1,1,high,"determine PTM levels including oxidation, deamidation, and succinimide formation"
polysorbate 20 fractions,formulation,agitation stress,stability,modifies,1,1,high,led to vastly different protective effects for a model mAb under agitation stress.
physicochemical stability,formulation,impact,stability,modifies,1,1,high,show that subspecies of PS20 are far more distinct from each other.
ps fractions propensity to form micelles,formulation,impact,quality_outcome,modifies,1,1,high,can impact both polysorbate quantitation measurements.
interaction,structure,diffusion,stability,modifies,1,1,high,Diffusion coefficients in crowded environments are markedly impacted by intermolecular interactions.
ivig,formulation,clearance,stability,destabilizes,1,1,high,"clearance increased 63%, and half-life decreased 41%."
ivig,formulation,shortened complement activity inhibition,stability,destabilizes,1,1,high,resulting in a shortened period of full complement activity inhibition.
cd33mab,formulation,cytotoxicity,quality_outcome,stabilizes,1,1,high,CD33mAb-dependent enhanced cytotoxicity by mbIL-21 NK cells was maintained in AML cells from patients
il-36r expression,sequence,non-linear pharmacokinetics,stability,drives,1,1,high,the presence of IL-36R in the periphery was confirmed unequivocally as the driver of non-linear pharmacokinetics in bloo
il-36r-mediated catabolism,sequence,clearance,stability,influences,1,1,high,analysis of functional mAb in urine suggests that target can influence the amount of mAb excreted
low membrane-bound target,sequence,tmdd behavior,stability,drives,1,1,high,"highlight an interesting case of target-mediated drug disposition (TMDD) where low, yet broadly expressed levels of memb"
hydroxypropyl-gamma-cyclodextrin,formulation,instability,stability,stabilizes,1,1,high,the use of hydroxypropyl-gamma-cyclodextrin...eliminated liposome fusion
s-nitrosothiol modification,sequence,tumor uptake,quality_outcome,promotes,1,1,high,modified mAb...enhanced the tumor accumulation of co-administered proteins
GSK3050002 aggregation,stability,immune complex disease,quality_outcome,promotes,1,1,high,"immune complexes of drug aggregates... can fix complement, accumulate over time, and trigger immune complex disease."
GSK3050002 aggregation,stability,inflammation,quality_outcome,promotes,1,1,high,dose-responsive increase in the incidence and severity of inflammation in multiple organs.
immune complex formation,quality_outcome,vascular and organ inflammation,quality_outcome,promotes,1,1,high,high incidence of unexpected vascular and organ inflammation was observed microscopically.
slow freezing rates,stress,charge heterogeneity,formulation,promotes,1,1,high,Usage of slow freezing rates revealed high inhomogeneities in terms of buffer salt and protein distribution.
fast freezing rates,stress,increased aggregation,stability,inhibits,1,1,high,fast freezing using steep rates shows promising results concerning homogeneity of the final frozen product and inhibits 
fc glycans removal,sequence,disrupts interactions,structure,inhibits,1,1,high,the enzymatic removal of the Fc glycans will disrupt Fc:FcgammaR interactions
amino acid sequence,sequence,instability,stability,promotes,1,1,high,standard variants with less than eight substituted amino acids showed possible instability
riboflavin,formulation,destabilizes,stability,promotes,1,1,high,"riboflavin and ascorbic acid affect protein stability, via formation of reactive oxygen species (ROS)"
ascorbic acid,formulation,destabilizes,stability,promotes,1,1,high,ascorbic acid and riboflavin were found to photosensitize therapeutic proteins
glutathione,formulation,stability,stability,inhibits,1,1,high,antioxidants such as glutathione helped limit photooxidation under ambient or blue light exposure
glycosylation sites,sequence,resistance to aggregation,stability,stabilizes,1,1,high,enhance its resistance to aggregation by steric hindrance
oxidation,formulation,efficacy,stability,stabilizes,1,1,high,high reduction efficiency of disulfide-bonded proteins without unwanted oxidation side-reactions
oxidation,formulation,robustness,stability,stabilizes,1,1,high,high repeatability and robustness over large sample batches without the need for electrode polishing
high salt concentration,formulation,destabilizes,stability,negative,1,1,high,high salt concentrations used in HIC analysis that are not compatible with direct MS detection
hic-ms method,formulation,alternative approach,quality_outcome,positive,1,1,high,this HIC-MS method not only provides an alternative approach for in-depth characterization of mAbs
formulated solution,formulation,noninvasive analyses,stability,promotes,1,1,high,allows the noninvasive structural analyses of intact mAbs in a wide range of temperature and solvent conditions
4 degrees c,stress,spectroscopy,stability,promotes,1,1,high,successfully acquired the N-detected CRINEPT spectra of an intact mAb in its formulated solution at 4 degrees C
high resolution of detection,structure,discriminate glycosylation,quality_outcome,promotes,1,1,high,demonstrating the benefit of high resolution of the N direct detection
narrow-range ampholytes,formulation,precipitation,stability,positive,1,1,high,less protein precipitation and aggregation when using narrow-range ampholytes than broad-range ampholytes
DMSO,formulation,stability,stability,positive,1,1,medium,use of DMSO as protein solubilizer and possible replacement of urea
loop grafting,sequence,binding activity,stability,inhibits,1,1,high,loop grafting potentially leads to a significant reduction in the binding of the antibody variants to the receptor
loop grafting,sequence,stability,stability,stabilizes,1,1,high,while retaining their stability
raxibacumab,sequence,immunogenicity of AVA,quality_outcome,does not negatively affect,1,1,high,Co-administration of raxibacumab with AVA does not negatively affect AVA immunogenicity.
cell growth inhibition,stress,specific productivity,quality_outcome,stabilizes,1,1,high,improvement of specific productivity was linked to cell growth inhibition
catechins with galloyl group,formulation,functional stability,quality_outcome,destabilizes,1,1,high,arrested cell growth and reduced cell specific productivity
increasing tunicamycin concentration,stress,titers,quality_outcome,stabilizes,1,1,high,"cells, producing a monoclonal antibody, are adapted to ER-stress, by continuous culturing under increasing concentration"
adaptation,structure,productivity,quality_outcome,stabilizes,1,1,high,A sustained higher productivity of at-least 2-fold was achieved in all the clones.
fed-batch process,formulation,titers,quality_outcome,stabilizes,1,1,high,a fed-batch process was designed where significantly higher titers are achieved as compared to control.
concentration,formulation,reconstitution times longer,stability,promotes,1,1,high,"reconstitution times were longer with poorer wetting, slower hydration, and disintegration rates."
stress conditions,formulation,reconstitution times faster,stability,inhibits,1,1,high,aggressive drying led to faster reconstitution at both the nucleation temperatures with 83 mg/mL mAb.
protein-to-sugar ratio >1,formulation,reconstitution times increased nonlinearly,stability,promotes,1,1,high,"when the ratio was greater than 1, the reconstitution times increased nonlinearly."
disintegration,mechanism,stability,stability,promotes,1,1,high,Disintegration and hydration were determined to be the key mechanisms contributing to the complete reconstitution.
aggregation propensity,formulation,stability assessment,stability,promotes,1,1,high,"A buffer-dependent increase in apparent molecular weight of the mAb was observed during DF, providing interesting supple"
amino acids within the epitope,sequence,neutralizing activity,stability,modifies,1,1,high,Mutations of some amino acids within the epitope had significant effects on the neutralizing activity of MAb 3A5.
mab 3a5,sequence,blocking activity,stability,inhibits,1,1,high,MAb 3A5 neutralized PCV2 by blocking viral attachment to PK15 cells.
binding mode of mab 3a5,structure,neutralizing activity,stability,modifies,1,1,high,This binding mode has not been observed previously for PCV2-neutralizing antibodies.
streptavidin adsorption,formulation,cell viability,quality_outcome,positive,1,1,high,streptavidin adsorption onto c-SLN- improved the cell viability in comparison to the cationic c-SLN.
10 m chelator concentration,formulation,stability,stability,stabilizes,1,1,high,"achieved at ambient temperature, pH = 7, in 30 min at 10 M chelator concentration."
humanization and de-immunization strategies,sequence,reduce ADA development risk,quality_outcome,stabilizes,1,1,high,"the resultant engineered antibodies had a comparable affinity for TNFalpha, demonstrated similar biophysical properties,"
human monoclonal antibody with pan-amyloid-binding activity,sequence,disrupts structure,stability,stabilizes,1,1,high,"the antibody disrupts the biofilm structure, enhancing biofilm eradication"
size and charge variants,quality_outcome,impact,quality_outcome,negative,1,1,high,"Monoclonal antibodies are heterogeneous in nature and may contain numerous variants with differences in size, charge, an"
glycosylation sites,sequence,charge heterogeneity,quality_outcome,promotes,1,1,high,the presence of these extra glycosylation sites...causes significant charge variant and glycan heterogeneity
blocking,formulation,instability,stability,stabilizes,1,1,high,Blocking the proteolytic capacity of urokinase-type plasminogen activator (uPA) with a monoclonal antibody (mAb) reduces
high activity,formulation,decreased overall synthesis time,stability,positive,1,1,high,revised procedures with improved radiochemical yields and decreased overall synthesis time
excipients,formulation,radiolytic decomposition,stability,positive,1,1,high,to thwart radiolytic decomposition of reactive At and the tin precursor
revised procedures,formulation,efficacy,stability,positive,1,1,high,revised procedures with improved radiochemical yields
60 mg/kg crenezumab,formulation,binding activity,stability,stabilizes,1,1,high,60 mg/kg crenezumab yields a significant increase in Abeta engagement compared with lower doses
interaction,structure,disrupt complexes,stability,destabilizes,1,1,high,intermolecular Fab/Fab interactions... disrupt the Fab/IgE-Fc complexes.
packing interactions disruption mutations,sequence,successful crystallization of Fab/IgE-Fc,stability,stabilizes,1,1,high,mutations were therefore designed to disrupt... this led to the successful crystallization.
tert-butyl alcohol concentration,formulation,reconstitution time,stability,decreases,1,1,high,reconstitution time was minimized (>50% reduction) at a TBA concentration of 5% w/v
storage conditions,formulation,reconstitution time,stability,decreases,1,1,high,greater than 50% reduction in reconstitution time at headspace pressures of less than 50 Torr
n169d,sequence,neutralization resistance,quality_outcome,confers,1,1,high,N169D is the most important substitution for neutralisation resistance.
s190n,sequence,neutralization resistance,quality_outcome,confers,1,1,high,S190N in the V2 region of gp120...conferred high neutralisation resistance.
rituximab treatment,formulation,shift in fc glycosylation,sequence,induces,1,1,high,"observed a shift in Fc glycosylation, with a mean 1.7% reduction in galactosylation"
affinity-matured variants,sequence,improved binding ability,stability,stabilizes,1,1,high,mutated variants with improved binding ability
affinity-matured variants,sequence,binding activity,stability,stabilizes,1,1,high,greatly enhanced inhibitory capacity upon ligand-induced receptor phosphorylation
affinity increase,sequence,binding activity,stability,stabilizes,1,1,high,showed moderate affinity increases against the target
multi-isocratic elution,formulation,selectivity,quality_outcome,stabilizes,1,1,high,improve both the selectivity and efficiency of protein separations
high fucosylation,sequence,blocking activity,stability,destabilizes,1,1,high,High fucosylation (>89%) of mouse-human heterohybridoma (HH) and Chinese hamster ovary (CHO) mAb-Ds blocked ADCC.
low fucosylation,sequence,mediated ADCC,stability,stabilizes,1,1,high,Rat YB2/0 mAb-Ds with <50% fucosylation mediated more efficient ADCC and clearance than anti-D Ig.
high galactosylation,sequence,mediating clearance,stability,stabilizes,1,1,high,These data reveal high galactosylation like anti-D Ig (>60%) together with lower fucosylation (<60%) as safe features of
lower fucosylation,sequence,mediating clearance,stability,stabilizes,1,1,high,These data reveal high galactosylation like anti-D Ig (>60%) together with lower fucosylation (<60%) as safe features of
reduction step,formulation,precise assessment of ptms,quality_outcome,inhibits,1,1,high,establish a more precise assessment of PTMs and isoforms from the F(ab)'2 fragment
formulation,formulation,rapid characterization of ptms,quality_outcome,inhibits,1,1,high,This workflow demonstrated its potential as a multi-attribute method for characterization of therapeutic proteins.
formulation,formulation,identify product impurities,quality_outcome,inhibits,1,1,high,the same workflow was successfully employed to identify product impurities due to chain pairing.
temperature,stress,oxidation,stability,increases,1,1,high,"At higher temperatures, more free radicals and SbVPs formed."
amount of free radicals,stability,aggregation,quality_outcome,increases,1,1,high,The amount of SbVPs formed was dependent on the amount of free radicals/sample temperature prior to grinding.
methionine,formulation,aggregation,quality_outcome,inhibits,1,1,high,Formation of SbVPs could be partially inhibited by methionine and CTPO.
catechin compounds,formulation,reduce acidic species,quality_outcome,inhibits,1,1,high,Cat-treated IgG was found to have reduced acidic species
grinding,stress,degradation,stability,promotes,1,1,high,previously known protein degradation due to high temperature formed during mechanical grinding.
agitation,stress,oxidation,stability,promotes,1,1,high,"we propose an unreported and supplementary mechanism, i.e., the formation of free radicals...during mechanical grinding."
surface concentration,formulation,inhibition,stability,inhibits,1,1,high,"at a sufficiently high surface concentration of the excipient, mAb adsorption to the surface and subsurface domains was "
competition for interface,formulation,correlates with mAb surface activity,sequence,correlates,1,1,high,the competition for the interface directly correlates with the surface activity of the two mAbs.
gly107 to phe mutation,sequence,increased binding affinity,quality_outcome,stabilizes,1,1,high,scFv mutant had highly increased affinity for AMD with up to 3.9-fold improved sensitivity
binding activity,structure,GP binding,stability,stabilizes,1,1,high,Remodeling of the glycan cap structures by the cocktail enabled enhanced GP binding and virus neutralization.
disulfide bond,structure,relative mobility restriction,stability,destabilizes,1,1,high,A pair of intermolecular disulfide bonds connecting two protein domains restricts their relative mobility in a systemati
three or more disulfides,structure,relative motion restriction,stability,destabilizes,1,1,high,three or more intermolecular disulfides which restrict the relative motion to a minimum.
bi-disulfide hinge,structure,dominating opening and closing modes,stability,modifies,1,1,medium,The intermediate mobility of bi-disulfide linked domains is characterized by their dominating opening and closing modes.
21-residue CDR-H3 loop,sequence,biological activity,stability,stabilizes,1,1,high,the architecture and functional attributes of erenumab critical for its potent antagonism against CGRPR
tyrosine-rich helix-turn tip,structure,biological activity,stability,stabilizes,1,1,high,"enabled by a remarkable 21-residue-long complementary determining region (CDR)-H3 loop, which adopts a tyrosine-rich hel"
concentration,formulation,lowers midpoint temperature T,stability,destabilizes,1,1,high,The chemical denaturant reduces the unfolding enthalpy H and lowers the midpoint temperature T.
concentration,formulation,conformational stability,stability,destabilizes,1,1,high,The chemical denaturant reduces the unfolding enthalpy H and lowers the midpoint temperature T.
conformational change,structure,binding activity,formulation,increases,1,1,high,The pretransition binds more denaturant molecules and is more sensitive to unfolding than the main transition.
catechin compounds,formulation,specific productivity,quality_outcome,stabilizes,1,1,high,improvement of specific productivity was linked to cell growth inhibition
CTPO,formulation,aggregation,quality_outcome,inhibits,1,1,high,Formation of SbVPs could be partially inhibited by methionine and CTPO.
two point mutations,sequence,neutralization,stability,stabilizes,1,1,high,identified to restore the parental antibody's ... neutralization activity.
two point mutations,sequence,potency,stability,stabilizes,1,1,high,identified to restore the parental antibody's ... potent efficacy of viral suppression.
docking,structure,stabilized,stability,stabilizes,1,1,high,more stabilized and compact hydrogen bond interactions formed in huE6F6-1.
smaller HBV immune complexes,structure,therapeutic efficacy,quality_outcome,stabilizes,1,1,high,smaller and dispersed HBV immune complexes of huE6F6-1 suggested it will have the same therapeutic efficacy.
preclinical study,formulation,stability,stability,stabilizes,1,1,high,demonstrated that it is a stable and desirable lead candidate.
glycosylation,sequence,determining efficacy and safety,quality_outcome,correlates,1,1,high,glycosylation to be a critical quality attribute for immunoglobulin G (IgG) and IgG-like therapeutics.
abundance of precursor nucleotide sugars,sequence,impact,sequence,modifies,1,1,high,"competing factors that impact glycan formation, including the abundance of precursor nucleotide sugars."
transporters,sequence,impact,sequence,modifies,1,1,high,"competing factors that impact glycan formation, including transporters."
glycosidases,sequence,impact,sequence,modifies,1,1,high,"competing factors that impact glycan formation, including glycosidases."
glycosyltransferases,sequence,impact,sequence,modifies,1,1,high,"competing factors that impact glycan formation, including glycosyltransferases."
process conditions,stress,impact,sequence,modifies,1,1,high,"competing factors that impact glycan formation, including process conditions."
pH,formulation,buffer composition,formulation,promotes,1,1,high,substantial differences in pH and excipient concentrations between the diafiltration buffer and final UF/DF pool.
excipients,formulation,buffer composition,formulation,promotes,1,1,high,substantial differences in pH and excipient concentrations between the diafiltration buffer and final UF/DF pool.
uf/df process model,formulation,formulation,quality_outcome,correlates,1,1,high,Model predictions of the final UF/DF pool properties were experimentally verified.
n169d,sequence,v3 region buried,structure,alters,1,1,high,N169D and 190N altered the MK1 Env conformation so that the V3 region is buried.
pH 5.0-6.5,formulation,resistance to denaturant-induced unfolding,stability,stabilizes,1,1,high,higher resistance to denaturant-induced unfolding when pH is increased from 5.0 to 6.5
10 mm histidine buffer,formulation,colloidal stability,stability,stabilizes,1,1,high,Bis-mAb exhibits highest colloidal stability in formulations containing 10 mM histidine buffer without added sodium chlo
low ionic strength histidine formulations,formulation,refoldability,stability,stabilizes,1,1,high,highest refoldability from urea is measured for the low ionic strength histidine formulations
colloidal stability,stability,soluble aggregates,quality_outcome,decreases,1,1,high,least amount of soluble aggregates and subvisible particles were detected in the Bis-mAb formulations with the highest c
poloxamer 188,formulation,protection against interfacial stress,stability,stabilizes,1,1,high,poloxamer 188 can provide suitable protection of monoclonal antibodies against interfacial stress
poloxamer 188,formulation,visible particles,quality_outcome,promotes,1,1,high,visible protein-polydimethylsiloxane (PDMS; silicone oil) particles were observed in vials
long-term storage,stress,visible particles,quality_outcome,promotes,1,1,high,visible protein-polydimethylsiloxane (PDMS; silicone oil) particles were observed in vials after long-term storage at 2-
poloxamer 188 formulations,formulation,protein-specific phenomenon,stability,correlates,1,1,medium,the occurrence of these protein-PDMS particles in poloxamer 188 formulations is a protein-specific phenomenon
excipients,formulation,phase separation,stability,induces,1,1,high,phase separation of mAb solutions induced by the addition of neutral polymers such as poly(ethylene glycol) (PEG)
liquid-liquid phase separation,stability,mabs tendency to aggregate,stability,determines,1,1,high,determine the tendency of monoclonal antibodies (mAbs) to aggregate under storage conditions
second virial coefficient,quality_outcome,depletion,structure,leads to,1,1,high,PEG primarily leads to depletion forces between protein molecules
protein-protein interactions,structure,aggregation rate,stability,correlates,1,1,medium,limited correlation between aggregation rate at 5 degrees C and phase behavior
hpy4pa,formulation,stability,stability,stabilizes,1,1,high,leading to a complex highly stable in mouse serum for at least 9 d.
hpy4pa,formulation,superb thermodynamic stability,stability,stabilizes,1,1,high,the [La(py4pa)] complex also demonstrated a superb thermodynamic stability.
pH 7,formulation,stability,stability,stabilizes,1,1,high,"achieved at ambient temperature, pH = 7, in 30 min."
degradation,stability,immunogenicity,quality_outcome,promotes,1,1,high,Immunogenicity related to the degradation of therapeutic monoclonal antibodies (mAbs) remains a major concern
v2 region,sequence,binding affinity,formulation,blocks,1,1,high,the V2 region may block KD247 from binding to the tip of the V3 region.
coformulated mAbs,formulation,quality attributes,quality_outcome,stabilizes,1,1,high,the two coformulated therapeutic mAbs had the same quality attributes as the individually formulated mAb-A and mAb-B
coformulated drug product,formulation,no effect,quality_outcome,prevents,1,1,high,"no physicochemical, intermolecular, or biological interactions occurred between the two components"
glycation,sequence,acidic variants,quality_outcome,promotes,1,1,high,glycation modification was highly enriched in the acidic fractions.
acidic fractions,quality_outcome,oxidation,sequence,promotes,1,1,high,"acidic fractions were enriched in AGEs, methionine, tryptophan, histidine oxidation."
acidic fractions,quality_outcome,deamidation,sequence,promotes,1,1,high,acidic fractions were enriched in asparagine deamidation.
acidic fractions,quality_outcome,glycation,sequence,promotes,1,1,high,acidic fractions were enriched in lysine glycation.
acidic fractions,quality_outcome,substitution,sequence,promotes,1,1,high,acidic fractions were enriched in glycine to aspartic acid substitution.
FcgammaR function,structure,modulates effector functions,stability,inhibits,1,1,high,FcgammaR interacts with antigen-complexed IgG ligands to activate and modulate a powerful network of inflammatory host-p
FcgammaR function,structure,triggers adverse effects,stability,promotes,1,1,high,FcgammaR may either underpin the therapeutic mAb action... or trigger catastrophic adverse effects.
glycan,sequence,increase in binding affinity,stability,stabilizes,1,1,high,focused glycan or protein engineering of the Fc to increase affinity and/or tailor specificity.
glycan,sequence,tailor specificity,stability,stabilizes,1,1,high,focused glycan or protein engineering of the Fc to increase affinity and/or tailor specificity.
