cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
purification,formulation,HCP separation,stability,promotes,1,1,high,the need to tailor the purification process to leverage the slight differences in binding behavior.,38853584
tau aggregation,stability,paired filaments,structure,promotes,1,1,medium,The aggregation of tau to form fibrils and neurofibrillary tangles is a key feature of Alzheimer's disease.,38520322
dimerization,structure,inhibition of phosphatase activities,stability,inhibits,1,1,high,inducing dimerization and inhibition of the phosphatase activities,37673461
hydrogel,formulation,sdAb release,stability,promotes,1,1,high,the implant's ability to sustain sdAb release up to 13 days,32993086
Ace-DEX MPs,formulation,delivery,stability,stabilizes,1,1,high,emphasizing the benefits of using Ace-DEX as a delivery platform for the poorly soluble ST101036.,36731641
dianthin-Trastuzumab,formulation,GI50,stability,decreases,1,1,high,dianthin-Trastuzumab of 23pM.,26253687
histidine,formulation,photo-stability,stability,requires,1,1,high,the exposure to near UV or visible light can lead to protein fragmentation.,40324686
ST101036,formulation,survival,stability,promotes,1,1,high,ST101036 MPs produced similar survival to soluble M7 (80-90%).,36731641
amino acid substitutions,sequence,IgG4 stability,stability,increases,1,1,high,amino acid substitutions relative to native gamma4 lead to stability of the IgG4 molecular.,26064256
Ace-DEX MPs,formulation,adjuvant activities,stability,promotes,1,1,high,Ace-DEX MPs produced the highest anti-EDIII IgG titers of all the MCAs tested.,36731641
B-value,stability,solubility,stability,increases,1,1,high,high protein solubility (>50mg/ml for immunoglobulins).,25270058
Fe(III),formulation,photodegradation,stability,increases,1,1,high,significant difference in the extent of photo-degradation between a high mannose Fc fragment.,40324686
NISTmAb,sequence,susceptibility,stability,increases,1,1,high,NISTmAb and Flt-3L-Ig are more susceptible to site-specific Thr photo-fragmentation.,40324686
interactions,stability,aggregation,stability,promotes,1,1,high,Protein-protein interactions contribute to aggregation.,25270058
additives,formulation,solubility,stability,increases,1,1,high,reduce aggregation and increase solubility.,25270058
B-value,stability,aggregation,stability,decreases,1,1,high,ensure that the protein's thermal and aggregation stability characteristics are not reduced.,25270058
amino acid substitutions,sequence,affinity,stability,decreases,1,1,high,amino acid substitutions relative to native gamma4 lead to affinity for FcgammaRI to be low.,26064256
C-terminus extension,sequence,disruption,structure,destabilizes,1,1,medium,extension of the C-terminus...disrupt disulfide bond formation,20019028
light chain extension,sequence,IgG function,stability,prevents,1,1,high,light chain of an IgG can be extended with an scFv without affecting IgG function and stability,20019028
fusion protein,structure,immunoglobulin structure,structure,modifies,1,1,high,the fusion protein was expressed in CHO cells and assembled into an immunoglobulin-like structure.,26064256
additives,formulation,B-value,stability,modifies,1,1,high,influence of additives on protein-protein interactions.,25270058
glycan,structure,photo-stability,stability,modifies,1,1,medium,"differences in photo-stability may be attributed to differences in domain-domain interactions, glycan structure.",40324686
additives,formulation,protein-protein interactions,stability,inhibits,1,1,high,individual additives that reduce protein interactions.,25270058
extendin-4-IgG4,structure,long half-life,stability,increases,1,1,high,the intact antibody-like fusion protein has more advantages than the Fc fusion protein including the intent of prolongin,26064256
accelerated storage,stress,consistent performance,stability,stabilizes,1,1,high,Stability tests under accelerated (40 degrees C) storage conditions revealed consistent performance.,41616731
extendin-4-IgG4,structure,glucose-lowering effect,stability,increases,1,1,high,the extendin-4-IgG4 fusion protein for more than 168 hours.,26064256
thermal stability,stability,photo-stability,stability,increases,1,1,medium,differences in photo-stability may be attributed to... thermal stability of these modalities.,40324686
standard storage conditions,stress,consistent performance,stability,stabilizes,1,1,high,Stability tests under standard (2-8 degrees C and 25-30 degrees C) storage conditions revealed consistent performance.,41616731
extendin-4-IgG4,structure,potency,stability,increases,1,1,high,the extendin-4-IgG4 fusion protein was found to affinity bind GLP-1R in vitro.,26064256
stability tests,stress,consistent performance,stability,requires,1,1,high,Stability tests under standard and accelerated storage conditions revealed consistent performance for up to 14 and 60 da,41616731
isotope labeled peptide,formulation,quantification,stability,promotes,1,1,medium,"Stable isotope labelled (SIL) peptide I(C, N)PPTFG(C, N)QGTK was used as the internal standard (IS).",37579604
enzymatic degradation,stress,susceptibility,stability,increases,1,1,high,enzymatic deglycosylation enhanced the susceptibility of both NISTmAb and HM-Fc to photo-fragmentation.,40324686
enzymatic cleavage,stress,photo-fragmentation extent,stability,decreases,1,1,high,enzymatic cleavage of the Fab domain from NISTmAb decreased the extent of photo-fragmentation.,40324686
domain interactions,structure,photo-stability,stability,modifies,1,1,medium,differences in photo-stability may be attributed to differences in domain-domain interactions.,40324686
disulfide scFv,structure,IgG-like stability,stability,stabilizes,1,1,high,bsAb retains parental affinities...exhibits IgG-like stability,20019028
IgG1/IgA2 tandem Fc,structure,ADCC,stability,promotes,1,1,high,The IgG1/IgA2 tandem Fc format retains IgG1 FcgammaR binding as well as FcRn-mediated serum persistence.,25970007
disulfide stabilization,structure,tumor targeting,quality_outcome,increases,1,1,high,the antiCD3xantiCD19 ds diabody is more suitable for a controlled polyclonal T cell therapy.,23055339
cryoprotectants,formulation,colloidal stability,stability,promotes,1,1,high,evaluated cryoprotectants exhibit a significant protective effect.,30145244
high affinity domains,sequence,high stability,stability,increases,1,1,high,"exhibiting high affinity, high stability and the ability to be produced in high yield.",26271488
disulfide stabilization,structure,binding affinity,stability,prevents,1,1,high,without a decrease in affinity.,23055339
high affinity domains,sequence,high yield,stability,increases,1,1,high,"exhibiting high affinity, high stability and the ability to be produced in high yield.",26271488
trehalose,formulation,colloidal stability,stability,increases,1,1,high,Maximal colloidal stability of GNRs is observed in the presence of trehalose.,30145244
disulfide stabilization,structure,stability,stability,stabilizes,1,1,high,the disulfide-stabilized (ds) diabody proved more stable in vitro and in vivo.,23055339
flexible PEG,formulation,stability,stability,increases,1,1,high,"to improve stability and extend pharmacokinetics, a flexible poly-ethylene glycol molecule was used as linker.",26271488
disulfide disruption,structure,in vivo properties,stability,inhibits,1,1,high,"does not appear to affect binding, stability or in vivo properties",20019028
ionic strength,formulation,interaction,stability,increases,1,1,high,"effect of solution properties, such as protein concentration, ionic strength, and pH shift",28617076
high stability,stability,improved psoriasis,quality_outcome,promotes,1,1,high,suggest AZ17 to be a promising drug candidate in psoriasis and other inflammatory diseases.,26271488
high stability,stability,high yield,stability,requires,1,1,high,"exhibiting high affinity, high stability and the ability to be produced in high yield.",26271488
mannitol,formulation,cake formation,stability,increases,1,1,high,mannitol results in best cake formation in terms of shape and integrity.,30145244
high yield,stability,high stability,stability,increases,1,1,high,"exhibiting high affinity, high stability and the ability to be produced in high yield.",26271488
formulation screening,formulation,sdAb conditions,stability,increases,1,1,high,formulation screening helped to identify the best sdAb formulation conditions,32993086
disulfide disruption,structure,stability,stability,inhibits,1,1,high,"does not appear to affect binding, stability or in vivo properties",20019028
formulation,formulation,endo/lysosomal escape,stability,promotes,1,1,high,SO1861 specifically mediated the endo/lysosomal escape of dianthin without disrupting the plasma membrane.,26253687
cysteine,sequence,disulfide stabilization,structure,induces,1,1,high,Cysteine residues were introduced into the V domains of the anti-CD3 segment.,23055339
dianthin,formulation,endo/lysosomal escape,stability,requires,1,1,high,SO1861 specifically mediated the endo/lysosomal escape of dianthin without disrupting the plasma membrane.,26253687
trehalose,formulation,cake shape,stability,increases,1,1,high,A combination of trehalose and mannitol produces a lyophilized product with satisfactory GNR colloidal stability and cak,30145244
endo/lysosomal escape,stability,cytotoxicity,stability,increases,1,1,high,dianthin showed increased cytotoxicity on MCF-7 cells when tested in combination with a glycosylated triterpenoid (SO186,26253687
dianthin-Cetuximab,formulation,GI50,stability,decreases,1,1,high,dianthin-Cetuximab presented a GI50 (50% growth inhibition) of 5.3pM.,26253687
PD-L1 inhibitors,formulation,degradation,stability,promotes,1,1,medium,inhibitors targeting PD-L1 currently focus on the functional inhibition of the interaction between PD-1/PD-L1 and degrad,38665824
disulfide disruption,structure,binding,stability,inhibits,1,1,high,"does not appear to affect binding, stability or in vivo properties",20019028
dianthin-Panitumumab,formulation,GI50,stability,decreases,1,1,high,dianthin-Panitumumab of 1.5pM.,26253687
internalization,stability,degradation,stability,promotes,1,1,medium,inhibitors targeting PD-L1 currently focus on the functional inhibition of the interaction between PD-1/PD-L1 and degrad,38665824
PD-L1 inhibitors,formulation,internalization,stability,promotes,1,1,medium,inhibitors targeting PD-L1 currently focus on the functional inhibition of the interaction between PD-1/PD-L1 and degrad,38665824
CRS,formulation,sdAb release,stability,increases,1,1,high,confirmed the ability of our CRS to extend sdAb release,32993086
polymer choice,formulation,sdAb-polymer interactions,stability,modifies,1,1,medium,influence of the choice of polymer and about potential interactions between the sdAb and the polymer,32993086
freeze-drying,stress,binding to lymphoma tissues,quality_outcome,requires,1,1,high,freeze-dried rituximab-conjugated GNRs in presence of proper cryoprotectants maintain typical binding to lymphoma tissue,30145244
dianthin,formulation,cytotoxicity,stability,increases,1,1,high,dianthin showed increased cytotoxicity on MCF-7 cells when tested in combination with a glycosylated triterpenoid (SO186,26253687
formulation,formulation,aerosol properties,stability,promotes,1,1,high,The aerosol properties of the anti-PD1-1-LL-PBS dry powder were significantly better when TFFD was used.,35259440
nanoparticles and hydrogels,formulation,drug delivery function,quality_outcome,promotes,1,1,medium,"nanoparticles and hydrogels, which function as drug delivery systems for sustained release",41305340
sustained release,formulation,improve outcomes,quality_outcome,promotes,1,1,medium,"function as drug delivery systems for sustained release, thereby improving both preventive and therapeutic outcomes",41305340
novel therapies,formulation,challenges,stability,destabilizes,1,1,medium,these novel therapies also face challenges such as high production costs and limited stability,41305340
microspheres,formulation,size stability,stability,stabilizes,1,1,high,"These microspheres... exhibit commendable biocompatibility, size stability, and robust magnetic thermal effects.",41438703
PAM@Fe(CO)MSs,formulation,anti-tumor,stability,increases,1,1,high,This innovative approach not only enhances anti-tumor efficacy by activating the host's T-cell immune response.,41438703
anti-tumor efficacy,stability,tumor growth,stability,decreases,1,1,high,"PAM@Fe(CO)MSs demonstrated significant synergistic effects, leading to the markedly curtailed growth of metastatic tumor",41438703
HCP release,stability,HCP propagation,stability,increases,1,1,medium,elucidate the mechanisms underlying HCP release and propagation.,39481535
formulation,formulation,TFPI inhibition,stability,promotes,1,1,high,TFPI inhibition by concizumab enhanced activation and aggregation of platelets,38815755
MTA,formulation,safety,stability,increases,1,1,high,MTA using PAM@Fe(CO)MSs showcased excellent safety and efficacy.,41438703
MTA,formulation,organ toxicity,stability,decreases,1,1,high,with minimal impact on liver function and no observable toxicity in critical organs.,41438703
HCP presence,stability,quality,quality_outcome,decreases,1,1,medium,mitigate HCP presence and improve biologic product quality.,39481535
upstream process control,stress,HCP presence,stability,decreases,1,1,medium,demonstrate the potential of upstream process control strategies to mitigate HCP presence.,39481535
media compositions,formulation,HCP accumulation,stability,increases,1,1,medium,factors such as media and feed compositions... significantly influencing HCP accumulation.,39481535
host cell line,sequence,HCP accumulation,stability,increases,1,1,medium,factors such as host cell line choice... significantly influencing HCP accumulation.,39481535
sequence,sequence,structure,structure,modifies,1,1,medium,"Effective ADCs require rational matching of the antibody, linker, and payload to achieve stability.",41219042
clone selection,sequence,HCP accumulation,stability,increases,1,1,medium,factors such as clone selection... significantly influencing HCP accumulation.,39481535
PAM@Fe(CO)MSs,formulation,T cell immune response,stability,induces,1,1,high,This innovative approach not only enhances anti-tumor efficacy by activating the host's T-cell immune response.,41438703
CS-PMAAm-Ab-Ag,structure,aggregation,stability,induces,1,1,medium,the extraction of rLipL32 because of CS-PMAAm-Ab-Ag aggregation.,38372964
conformational stability,stability,quality,quality_outcome,increases,1,1,medium,can help to identify aspects of microheterogeneity that are critical for product quality.,27753240
surface charge,structure,conformational stability,stability,requires,1,1,medium,Differences in the conformational stability of antibody charge variants could not be detected.,27753240
aggregation,stability,rLipL32 extraction,quality_outcome,promotes,1,1,medium,the extraction of rLipL32 because of CS-PMAAm-Ab-Ag aggregation.,38372964
surface charge,structure,ADCC response,quality_outcome,increases,1,1,high,an increased ADCC response.,27753240
surface charge,structure,binding affinity,quality_outcome,increases,1,1,high,the basic charge variants showed a stronger binding affinity towards FcgammaRIIIa.,27753240
monoclonal antibody therapies,formulation,target binding,quality_outcome,promotes,1,1,medium,monoclonal antibody therapies that target specific bacterial components,41305340
microheterogeneity,structure,surface charge,structure,modifies,1,1,high,the microheterogenity pattern can have a significant impact on various key characteristics of the product.,27753240
formulation,formulation,porous structure,structure,induces,1,1,high,The TFFD dry powder had a porous structure with nanoaggregates.,35259440
IgG sequence,sequence,aerosol properties,stability,promotes,1,1,medium,"the IgG 1% (w/w) formulated with lactose/leucine (60:40, w/w) in phosphate buffered saline (PBS) was found to produce th",35259440
mannitol formulation,formulation,subvisible aggregation,stability,decreases,1,1,high,Powders prepared with mannitol as an excipient showed the least amount of subvisible mAb aggregates.,35259440
phage therapy,formulation,degradation,stability,promotes,1,1,medium,"phage therapy, which can either independently or synergistically degrade biofilms",41305340
phage therapy,formulation,antimicrobial efficacy enhancement,stability,promotes,1,1,medium,"phage therapy, which can either independently or synergistically degrade biofilms and enhance antimicrobial efficacy",41305340
PBS,formulation,subvisible aggregation,stability,increases,1,1,high,the excipients and PBS affected subvisible aggregate formation.,35259440
mAb concentration,formulation,protein loss,stability,decreases,1,1,high,we were able to minimize the loss by increasing the mAb concentration.,35259440
antimicrobial peptides,formulation,disruption,stability,promotes,1,1,medium,"antimicrobial peptides, capable of disrupting bacterial membrane integrity",41305340
antimicrobial peptides,formulation,antibiofilm activity,stability,promotes,1,1,medium,"antimicrobial peptides, capable of disrupting bacterial membrane integrity and exhibiting dual antibiofilm activity",41305340
polyvinylpyrrolidone K40,formulation,T,stability,increases,1,1,high,The addition of polyvinylpyrrolidone K40 in the formulation raised the T to 152 degrees C.,35259440
anti-PD-1 mAb,sequence,aerosol properties,stability,promotes,1,1,medium,the anti-PD1-1-LL-PBS powder performed similarly to the IgG-1-LL-PBS powder.,35259440
RAB2,sequence,HOPS complex recruitment,stability,induces,1,1,medium,RAB2 and RAB14 overlappingly regulate the autophagosome maturation step through recruitment of the HOPS complex.,38953305
pH conditions,stress,conformational transitions,stability,induces,1,1,high,Both COE-3 and COE-7 underwent distinct conformational transitions between pH 5.5 and 8.0.,41674391
RAB14,sequence,HOPS complex recruitment,stability,induces,1,1,medium,RAB2 and RAB14 overlappingly regulate the autophagosome maturation step through recruitment of the HOPS complex.,38953305
structural reorganization,structure,stability of antibody pharmaceuticals,stability,increases,1,1,high,This mechanistic understanding opens new avenues for enhancing the stability of antibody-based pharmaceuticals.,41674391
HOPS recruitment,stability,autophagosome maturation,stability,stabilizes,1,1,medium,RAB2 and RAB14 overlappingly regulate the autophagosome maturation step through recruitment of the HOPS complex.,38953305
region,structure,structural reorganization,structure,modifies,1,1,high,this pH-induced structural reorganization was primarily driven by the Fc region.,41674391
transgene copies,sequence,transcriptional screening,stability,increases,1,1,medium,"ddPCR can be used to enable precise, sensitive and reproducible absolute quantification of genomically integrated transg",37797917
transgene quantification,sequence,genetic stability,stability,requires,1,1,medium,essential genetic parameter that must be demonstrated to regulatory authorities during clinical trial.,37797917
cell culture parameters,stress,HCP level,stability,correlates,1,1,medium,revealing correlations between cell culture parameters and HCP level.,39481535
ddPCR characterization,formulation,efficiency,stability,increases,1,1,medium,"ddPCR-based genomic characterization improves the robustness, efficiency and comparability.",37797917
ddPCR characterization,formulation,comparability,stability,increases,1,1,medium,"ddPCR-based genomic characterization improves the robustness, efficiency and comparability.",37797917
pH conditions,stress,conformational dynamics,stability,induces,1,1,high,molecular-level investigation of antibody conformational dynamics at model polydimethylsiloxane (PDMS) interfaces under ,41674391
balanced ratios,sequence,assembly and homogeneity,stability,requires,1,1,medium,balanced polypeptide chain ratios are of primary importance.,37797917
gene expression,sequence,assembly and homogeneity,stability,promotes,1,1,medium,measuring gene expression profiles to predict the assembly and homogeneity of difficult-to-express proteins.,37797917
Aflibercept,sequence,aggregation,stability,promotes,1,1,high,Results indicate that aggregation is common degradation pathway.,32060315
pH conditions,stress,structural adaptation,structure,induces,1,1,high,pH-dependent structural adaptations of two engineered antibodies... were revealed.,41674391
stress conditions,stress,changes in secondary structure,stability,induces,1,1,high,changes in secondary structure (Far-UV circular dichroism).,32060315
stress conditions,stress,changes in conformation,stability,induces,1,1,high,changes in conformation or tertiary structure (Intrinsic tryptophan fluorescence).,32060315
ddPCR characterization,formulation,robustness,stability,increases,1,1,medium,"ddPCR-based genomic characterization improves the robustness, efficiency and comparability.",37797917
mAb,sequence,safety profile,quality_outcome,increases,1,1,high,improved safety profiles compared to canakinumab.,39964852
mAb,sequence,median half-life,stability,increases,1,1,high,"TAVO103A was found to be safe, well tolerated, and demonstrated a median half-life of 63 days.",39964852
structural,structure,stability,stability,increases,1,1,medium,"Effective ADCs require rational matching of the antibody, linker, and payload to achieve stability.",41219042
sequence,sequence,stability,stability,increases,1,1,medium,"Effective ADCs require rational matching of the antibody, linker, and payload to achieve stability.",41219042
engineering,structure,resistance to degradation,stability,increases,1,1,high,"increase affinity to FcRn receptors, and enhance its resistance to proteolytic degradation.",39964852
structural,structure,molecular dynamics,structure,modifies,1,1,medium,"By integrating sequence (for antibodies), structural, and molecular dynamics (MD) features of ADC components.",41219042
mAb,sequence,Fc engineering,structure,modifies,1,1,high,TAVO103A underwent Fc engineering to reduce binding to Fcgamma receptors.,39964852
binding affinity to IL-1beta,structure,IL-1beta neutralization,stability,increases,1,1,high,TAVO103A demonstrated more potent neutralization of IL-1beta activities compared to canakinumab.,39964852
RAB14,sequence,autophagosome maturation,stability,promotes,1,1,medium,RAB2 and RAB14 overlappingly regulate the autophagosome maturation step.,38953305
bilayer architecture,structure,non-deformed layer,structure,promotes,1,1,high,"a unique bilayer architecture emerged, with a densely packed inner layer supporting a more diffuse and non-deformed oute",41674391
compressed monolayers,structure,molecular deformation,stability,increases,1,1,high,"At pH 5.5, both antibodies formed compressed monolayers, indicating substantial molecular deformation.",41674391
disulfide stability,stability,cytotoxicity,quality_outcome,prevents,1,1,medium,the S-LC-SMPT-mediated RTA immunotoxin maintained a comparable cytotoxicity.,10549572
pH,stress,antigen accessibility,stability,increases,1,1,high,immobilization at pH above the BsAb's pI improves antigen accessibility,41081430
pH,stress,nanotag stability,stability,increases,1,1,high,immobilization at pH above the BsAb's pI improves nanotag stability,41081430
pH,stress,immobilization density,stability,decreases,1,1,high,despite reduced immobilization density.,41081430
immobilization density,stability,antigen accessibility,stability,requires,1,1,medium,despite reduced immobilization density.,41081430
immobilization density,stability,nanotag stability,stability,requires,1,1,medium,despite reduced immobilization density.,41081430
RAB2,sequence,autophagosome maturation,stability,promotes,1,1,medium,RAB2 and RAB14 overlappingly regulate the autophagosome maturation step.,38953305
fragments,structure,consistent conformations,stability,requires,1,1,high,the Fab fragments maintained consistent monolayer conformations regardless of pH conditions.,41674391
free thiol,sequence,cross-linking sites,structure,modifies,1,1,high,The free thiol cross-linking sites were determined to be at the peptide moiety.,23146227
free thiol,sequence,instability,stability,increases,1,1,high,the presence of free thiols in the protein is the intrinsic cause.,23146227
BsAbFP,structure,biological response,stability,induces,1,1,high,demonstrated the ability of anti-PD-L1/CD40L BsAbFP to synergistically induce biological response,34768776
BsAbFP,structure,potency,stability,increases,1,1,high,"assessing potency, structure-function and critical quality attributes of anti-PD-L1/CD40L BsAbFP",34768776
drug dose,formulation,biological response,stability,increases,1,1,high,strong correlation between the drug dose and biological response,34768776
stability regulation,stability,stability,stability,increases,1,1,medium,the latest research progress on PDCs from the aspects of... stability regulation.,38194773
drug dose,formulation,potency,stability,increases,1,1,high,strong correlation between the drug dose and biological response,34768776
excipients,formulation,self-association,stability,inhibits,1,1,high,excipients that are able to shift this equilibrium to the monomeric state.,23665445
X-ray radiation,stress,quality,quality_outcome,requires,1,1,high,...the effect of X-ray radiation on monoclonal antibody (mAb)-related biologic drug substance...was investigated.,40380022
dexamethasone,formulation,aggregation,stability,destabilizes,1,1,high,dexamethasone phosphate showed the ability to partially reverse formed aggregates.,23665445
PDCs,formulation,stability,stability,destabilizes,1,1,medium,"PDCs also encounter problems when used as targeted therapeutics, such as poor stability.",38194773
AMP,formulation,dimer formation,stability,inhibits,1,1,high,An interaction between AMP and bevacizumab...was observed.,23665445
mAb,sequence,conformational stability,stability,modifies,1,1,medium,Further characterization of the mAb molecules regarding conformational stability.,39079589
mAb,sequence,interfacial rheology,structure,modifies,1,1,medium,Further characterization of the mAb molecules regarding interfacial rheology.,39079589
AMP,formulation,self-association,stability,inhibits,1,1,high,all four excipients are able to partially overcome the initial self-association.,23665445
binding,formulation,dimer formation,stability,prevents,1,1,high,predicted to bind to a protein-protein interaction hotspot on the Fc region.,23665445
temperature 40°C,stress,stability,stability,destabilizes,1,1,high,stability of the antibody at elevated temperature (40 degrees C) in a 51 mM phosphate buffer.,23665445
excipients,formulation,monomeric state,stability,promotes,1,1,high,excipients that are able to shift this equilibrium to the monomeric state.,23665445
Calpain-1,sequence,aggregation,stability,promotes,1,1,high,Calpain-1 is an enzyme...related to aggregation of alpha-Synuclein.,40204767
Calpain-1,sequence,alpha-Synuclein,sequence,modifies,1,1,high,Calpain-1 is an enzyme...related to aggregation of alpha-Synuclein.,40204767
alpha-Synuclein,sequence,aggregation,stability,promotes,1,1,high,where alpha-Synuclein aggregates are deposited.,40204767
alpha-Synuclein,sequence,alpha-Syn-C,sequence,modifies,1,1,high,"a Calpain-1 specific cleavage site of alpha-Synuclein, named alpha-Syn-C.",40204767
alpha-Syn-C,sequence,diagnostic value,quality_outcome,increases,1,1,high,alpha-Syn-C was significantly upregulated in patients with PD.,40204767
degradation,stability,T-cell-mediated cytotoxicity,quality_outcome,increases,1,1,high,this degradation potently enhanced T-cell-mediated killing of LNCaP cells.,41614194
conformational stability,stability,degradation of PD-L1,stability,inhibits,1,1,high,induced rapid and dose-dependent degradation of programmed cell death ligand 1 (PD-L1).,41614194
alpha-Syn-C,sequence,PD patient differentiation,quality_outcome,increases,1,1,high,an ability to differentiate PD patients from healthy donors.,40204767
partially frozen,stress,aggregation,stability,promotes,1,1,high,Partially frozen accompanied by the elevated pH and increased salt and protein concentrations were identified as extrins,23146227
SPAM,sequence,binding affinity,stability,increases,1,1,high,SPAM2 and SPAM3 have antibody-like affinities for hPD-L1,40852896
PATACs,formulation,conformational stability,stability,induces,1,1,high,"PATAC, featuring a short and rigid linker, exhibits enhanced conformational stability.",41614194
storage at -80°C,stress,stability,stability,stabilizes,1,1,high,the protein was stable at 4 and -80 degrees C.,23146227
storage at 4°C,stress,stability,stability,stabilizes,1,1,high,the protein was stable at 4 and -80 degrees C.,23146227
storage at -30°C,stress,aggregation,stability,promotes,1,1,high,Protein aggregation was observed in a purification intermediate of a therapeutic Fc-fusion protein stored at -30 degrees,23146227
high salt concentration,stress,aggregation,stability,promotes,1,1,high,Partially frozen accompanied by the elevated pH and increased salt and protein concentrations were identified as extrins,23146227
SPAM,sequence,stability in human serum,stability,increases,1,1,high,SPAM2 and SPAM3...are stable in human serum,40852896
SPAM3,sequence,binding affinity,stability,increases,1,1,high,SPAM3 bound human glioma D423 cells with high affinity,40852896
elevated pH,stress,aggregation,stability,promotes,1,1,high,Partially frozen accompanied by the elevated pH and increased salt and protein concentrations were identified as extrins,23146227
PATACs,formulation,lysosomal degradation pathway,stability,promotes,1,1,high,"PATACs facilitate the cointernalization of a target protein of interest, directing it into the lysosomal degradation pat",41614194
molecular crowding,stress,biophysical instability,stability,promotes,1,1,medium,non-ideality effects through molecular crowding or co-exclusion effects.,41378112
Arg-HCl,formulation,formulation viscosity,stability,increases,1,1,high,Arg-HCl demonstrating particularly improved formulation viscosity in an HCmAP.,41378112
nanocarriers,formulation,tumor targeting,stability,increases,1,1,medium,increasing tumor accumulation and image contrast compared to free peptide.,41227206
antibody concentration,formulation,biophysical instability,stability,increases,1,1,high,the large increase in viscosity of these biologics due to increased antibody concentration.,41378112
commercial bevacizumab,formulation,structural hierarchy,structure,stabilizes,1,1,high,commercial solution of bevacizumab can be safely repackaged in polypropylene syringes,22655582
storage at 4°C,stress,structural hierarchy,structure,stabilizes,1,1,high,"stored up to 3 months at 4 degrees C without alteration of its primary, secondary and tertiary structure",22655582
polymers,structure,collapsed structures,structure,induces,1,1,medium,UCST polymers undergo their own collapsed structures to show thermoresponsive functions favoring controlled release syst,38372964
X-ray radiation,stress,stability,stability,promotes,1,1,high,...provide valuable assurance regarding the stability and safety of mAb-related biologics when subjected to X-ray radiat,40380022
monoclonal antibody sequence,sequence,amyloid deposition,stability,increases,1,1,high,Defining how these sequences lead to amyloid deposition could facilitate faster diagnosis.,39314448
collapsed structures,structure,thermoresponsive functions,stability,promotes,1,1,medium,collapsed structures to show thermoresponsive functions favoring controlled release systems.,38372964
polysaccharides,formulation,functional molecules,formulation,binds,1,1,medium,"the application of polysaccharides, i.e., chitosan (CS), as the biopolymer backbone to conjugate with functional molecul",38372964
X-ray radiation,stress,purity,quality_outcome,increases,1,1,medium,"...product quality attributes, including visible particles, sub-visible particles, purity, and charge variants, were ass",40380022
functional molecule,formulation,UCST polymers,structure,modifies,1,1,medium,conjugate with functional molecules and UCST polymers.,38372964
X-ray radiation,stress,sub-visible particle,quality_outcome,increases,1,1,medium,"...product quality attributes, including visible particles, sub-visible particles, purity, and charge variants, were ass",40380022
chain transfer agents,formulation,water modification,formulation,induces,1,1,medium,"the use of chain transfer agents, e.g., mercaptoacetic acid, in radical polymerization.",38372964
X-ray radiation,stress,visible particles,quality_outcome,increases,1,1,medium,"...product quality attributes, including visible particles, sub-visible particles, purity, and charge variants, were ass",40380022
CS-PMAAm,formulation,cloud point,stability,increases,1,1,medium,CS-PMAAm obtained not only shows the cloud point in the range of 10-30 degrees C.,38372964
X-ray radiation,stress,related biologics,stability,stabilizes,1,1,high,...the mAb-related biologics maintained their product quality despite exposure to heightened X-ray radiation.,40380022
X-ray radiation,stress,charge variant,quality_outcome,increases,1,1,medium,"...product quality attributes, including visible particles, sub-visible particles, purity, and charge variants, were ass",40380022
light chain sequence,sequence,mutation frequency,sequence,modifies,1,1,high,The number of mutations varied widely between light chains.,39314448
light chain sequence,sequence,physicochemical properties,sequence,modifies,1,1,high,Monoclonal sequences...compared to identify differences in...physicochemical properties.,39314448
light chain sequence,sequence,risk of amyloidosis,stability,increases,1,1,high,Rarely-observed light chain variable genes may carry a high risk of AL amyloidosis.,39314448
human RNase,sequence,serum stability,stability,stabilizes,1,1,high,"Serum stability, cell binding and internalization of IgG-RNases were comparable to the parental IgGs.",24492302
human RNase,sequence,cell binding,stability,stabilizes,1,1,high,"Serum stability, cell binding and internalization of IgG-RNases were comparable to the parental IgGs.",24492302
silicone oil migration,formulation,extrusion forces,stability,increases,1,1,high,the extrusion forces were significantly increased due to SO detachment.,39079589
human RNase,sequence,internalization stability,stability,stabilizes,1,1,high,"Serum stability, cell binding and internalization of IgG-RNases were comparable to the parental IgGs.",24492302
storage at 40°C,stress,silicone oil migration,formulation,increases,1,1,high,the storage at 40 degrees C enhanced the SO migration process.,39079589
radiolabeled derivatives,formulation,tumor targeting,stability,increases,1,1,medium,increasing tumor accumulation and image contrast compared to free peptide.,41227206
mAb hydrophobicity ranking,sequence,stability outcome,stability,correlates,1,1,high,a hydrophobicity ranking of the molecules correlated to the stability outcome.,39079589
RI variants,sequence,tumor growth inhibition,stability,inhibits,1,1,high,RI evasive human pancreatic RNase variants mediated only small inhibiting effects on tumor cell growth at high concentra,24492302
mAb,sequence,container stability,stability,stabilizes,1,1,high,one of the proteins showed a rather stabilizing effect on the SO layer resulting into higher container stability.,39079589
formulation,formulation,silicone oil migration,formulation,promotes,1,1,high,the tendency for SO migration was predominantly dependent on the presence and type of surfactant.,39079589
silicone oil migration,formulation,increase in gliding forces,stability,increases,1,1,high,the extrusion forces were significantly increased due to SO detachment dependent on the fill medium.,39079589
RI variants,sequence,translocation efficiency,stability,decreases,1,1,high,potentially reflecting inefficient cytosolic translocation.,24492302
